"utente"|"commento"|"hotel"|"datains"|"tipo_lista"|"labelpers"|"predictedCategory"
"1964Marcello"|"Bungalow accogliente e pulitissimo, con ogni accessorio per il confort. Logistica curata, ristorante di ottimo livello e con grande scelta. Accoglienza e servizi degni di nota compreso l'utilizzo della piscina fuori stagione molto apprezzato dai ragazzi. Prezzo complessivo assai buono. Unica pecca la colazione continentale senza brioche e di prezzo troppo elevato."|"Camping Village Firenze"|"05/07/2019"|"TEST"|"sp"|"ce"
"Alberto Caleca"|"Diverse volte ho soggiornato in questo hotel, buona accoglienza e ottima ristorazione ( a prezzi corretti per Bologna)... La camera assegnata con muro sporco... Ultimo giorno acqua calda assente in doccia e per 3 giorni wifi lentissimo (lamentela condivisa da altri ospiti)...non scaricava nemmeno i messaggi di WhatsApp... Figurati potere lavorare..."|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TEST"|"ce"|"sp"
"Alessandra M"|"Nuovissima struttura, super moderna, stanze ampie, atmosfera con luci colorate in doccia, luce di cortesia toilette, arredamento moderno avvolgente, punti luce touch-screen con led blu il personale gentile e professionale, colazione favolosa."|"8piuhotel"|"05/07/2019"|"TEST"|"ce"|"ce"
"AlexTagadà"|"location discreta anche se si potrebbe fare meglio rinnovando le camere e le parti comuni. parcheggio comodo a pagamento. personale gentile. ambiente molto grande. non ho provato la colazione che non era inclusa nel prezzo e dal costo elevato"|"Starhotels Business Palace"|"05/07/2019"|"TEST"|"sp"|"ce"
"AndPed"|"Come ogni anno torniamo al Cosmopolitan per una giornata di workshop! Tutto perfetto, dall'organizzazione della parte meeting al food/beverage sempre al top. Camere spaziose, pulite e letto SUPER COMODO! A presto"|"Cosmopolitan Business Hotel"|"05/07/2019"|"TEST"|"ce"|"ce"
"Andrea T"|"Dormito una notte in camper presso la struttura.Piazzole molto larghe dotate tutte di allaccio acqua e corrente, tutte in piano o al limite con pochissimo dislivello. Bagni puliti soprattutto tenendo conto che l'affluenza era davvero elevata. Tutta la struttura è gestita molto bene, e molto curata in tutti i dettagli. Comodissima la pista ciclabile lungo l'Arno. collegata con il camping e che ti permette di arrivare fino in centro! Possibilità di noleggiare le bici al campeggio, c'è anche una navetta che con soli 3 euro ti porta in centro. Piscina molto bella e ristorante bar molto carini."|"Camping Village Firenze"|"05/07/2019"|"TEST"|"ce"|"ce"
"AndreaGin2013"|"Se avete le possibilità di pernottare nella suite presidenziale avete fatto tombola. Una meraviglia. Comunque sia l'attenzione per il servizio clienti Credo sia il punto di forza di questa struttura ( suite presidenziale a parte ). Nadine, Rita, Simona, Carolina... fin da prima del mio arrivo (via mail) Si sono dimostrate di una gentilezza e di una disponibilità degne di nota, molto abili nel customer care a 360°. Purtroppo le condizioni metereologiche non ci hanno consentito di sfruttare appieno la struttura, ad esempio la graziosa terrazza con piscinetta.. ma ne è valsa comunque la pena e quasi dispiace di non essere stati molto in stanza.. ma Firenze Merida di essere visitata come si deve ed un weekend non è abbastanza. La colazione offre una varietà di cibi caldi e freddi davvero ottimi, frutta..ecc... Direi che non manca proprio niente.Sicuramente una esperienza da ripetere anche solo per rincontrare il delizioso personale."|"NH Firenze"|"05/07/2019"|"TEST"|"lx"|"ce"
"Antonella V"|"Abbiamo cenato domenica sera 3 giugno, posto molto suggestivo ,la signora che a coglie é  molto gentile, cena molto buona, da ritornare di sicuro, ottimo tutto dall'antipasto al dolce, che dire, andateci, non fosse altro per la bellezza  del posto"|"Agriturismo La Ferme du Grand Paradis"|"05/07/2019"|"TEST"|"ce"|"ce"
"ANTONIO N"|"Il posto è meraviglioso, con il gran paradiso a due passi, immerso nel verde, unica pecca che il menù non abbia la possibilità di scegliere tra almeno due portate, e il prezzo è un po' altino, considerato tutto. Sicuramente non ci ritornerò."|"Agriturismo La Ferme du Grand Paradis"|"05/07/2019"|"TEST"|"sp"|"sp"
"azzurropescara"|"Gradevole hotel a San Donato milanese . Hall ampia . Personale gentile e veloce al check in . Stanza abbastanza confortevole e pulita . Letto grande e comodo . Bagno adeguato con asciugamani morbide . Bella la sala fitness condizionata al 13 piano con 2 su 3 tapis roulant funzionanti ed altri ottimi attrezzi . Completano l’albergo 2 ristoranti : uno alla carte e l’altro a buffet . Prezzi in linea con Milano nella sala servita e in quella a buffet costo 27 € escluso bevande . Colazione davvero fantastica e di qualità sia nel dolce che nel salato . La colazione rappresenta il vero punto forte dell’albergo compreso il servizio di bevande calde o altro cucinato al momento . …"|"Crowne Plaza Milan Linate"|"05/07/2019"|"TEST"|"sp"|"ce"
