"utente"|"commento"|"hotel"|"datains"|"tipo_lista"|"labelpers"
"Zex"|"Piccolo ma veramente delizioso campeggio. Siamo stati qui per un fine settimana con un camper in 5. Piazzola media ma ben servita, market piccolino ma con la giusta offerta. Servizi completi, bagni molto ben curati, ristorante associato molto delizioso e gustoso. È stato un fine settimana decisamente rilassante e molto goduto. Ci tornerò di sicuro. …"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"ce"
"ElisAlice"|"Campeggio situato imposizione perfetta per poter visitare comodamente più luoghi di interesse senza sprecare troppo tempo in auto. Ottimo per chi ha cani. Unica pecca ristorante chiuso il martedì sera. Consigliato"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"ce"
"Alberto"|"Sapevo già che nella zona Austria-Alto Adige i campeggi sono molto belli e organizzati,a questo li batte tutti. Bagni sempre puliti, Servizi al top e personale molto cordiale. Sicuramente il miglior posto in cui soggiornare se volete visitare la Val Pusteria!"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"ce"
"Desirè D"|"Ho soggiornato con mio marito per una settimana nelle sistemazioni alpine lodge e ci siamo trovati benissimo.Sono soluzioni abitative singole e autonome, delle vere e proprie casettine di legno vista montagna. La posizione del campeggio è comodissima per raggiungere tutti i vari punti di interesse della valle ( tra Dobbiaco e Villabassa), a 5 min di auto dall imbocco per Braies, stessa distanza da san candido, 40 min da Lienz e da brunico. I lodge sono stupendi, dei gioiellini, tutti in legno, molto spaziosi e con tutti i confort (bagno grande e moderno con asciugamani e carta igienica, cucina con tutte le stoviglie, strofinacci, tovaglia, frigo, microonde e lavastoviglie con annessa capsula, sacchetti per la spazzatura, zona living con divanetto, tv,tavolo da pranzo che da sulla bellissima vetrata esterna, tanti armadi sia in camera da letto e cameretta von letto a castello). Bellissima anche la veranda esterna con tavolo per mangiare fuori e stendino per i panni. La tranquillità che si respira qui non ha prezzo! Anche perché la zona dei lodge è separata da quella dei camperisti. Come servizi abbiamo utilizzato solo il noleggio bici interno e il ristorante-pizzeria samyr (ottima pizza e bellissimo ambiente).Lo consiglieremo ai nostri amici e familiari e cogliamo l'occasione per ringraziare lo staff molto gentile e disponibile.Da ritornarci assolutamente!"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"ce"
"Alessandro M"|"Ottima struttura, personale disponibilissimo. Pulizie dei servizi molto buona. Dopo parecchi anni che andiamo, per noi è sempre un po' come tornare a casa. Buonissimo ristorante. Posto ideale per rilassarsi."|"Camping Olympia"|"05/07/2019"|"TRAINING"|"ce"
"Elena V"|"Da tempo ormai è la nostra base per le gite in sud tirolo. Il campeggio offre una miriade di comodità (bagni riscaldati, stanza con fasciatoio e vaschetta, bagno e doccia per i piccoli, vasca per i cani, piscina, servizio navetta, card per i trasporti pubblici inclusa, mini zoo, noleggio bici...) e il personale è sempre cortese e premuroso. Il bus ferma proprio davanti all’ingresso. Ciliegina sulla torta: l’ottimo ristorante annesso! Davvero consigliato!"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"ce"
"Andrea E"|"Tutto comincia due settimane prima del ns soggiorno in questa struttura. Telefono prima per prenotazione della piazzola 510 e successivamente mi viene confermata on line prenotazione e la piazzola prescelta. Prima del ns arrivo mi accerto nuovamente della prenotazione che mi viene confermata... Però la piazzola non è più disponibile è già stata occupata sebbene da loro conferma... Alla reception al mio arrivo si scusano ma niente si può fare... Prima delusione e nessun tentativo con chi occupa ormai la 510. Ci sistemiamo comunque.La sera dopo aver prenotato al ristorante del camping ordiniamo due pizze, la cameriera ci dice che ci sarà da aspettare 15 min. Mia figlia 12 anni ha fame e dopo 45 min di attesa ci alziamo Avvisiamo e lasciamo questa specie di ristorante dove nessuno si scusa del disservizio anzi... Così si libera il tavolo!! Il camping non offre un gran ché ed è pure triste... Credo che non ci metteremo più piede e non lo consiglierò mai a nessuno... Un vero schifo."|"Camping Olympia"|"05/07/2019"|"TRAINING"|"ce"
"Alessandro R"|"Sono stato tre giorni  e sono rimasto molto soddisfatto della permanenza in questo camping piscina non molto bella ma con 40 gradi diventa bella, stanze molto belle anche se un po' piccoline ma ne vale la pena farsi una vacanza qui"|"Camping Village Firenze"|"05/07/2019"|"TRAINING"|"ce"
"faret06"|"Molto bello e pulito piazzole spaziose e piscina accessibile a tutti. vicino ai mezzi pubblici e con la possibilità di arrivare a 20 min dal centro (a piedi) con la navetta. Inoltre per chi volesse ci sono  l'area barbecue, il market e un ristorante"|"Camping Village Firenze"|"05/07/2019"|"TRAINING"|"ce"
"Mario Iodice"|"Sono stato questo weekend presso questo villaggio camping con alcuni amici ognuno sistemato in un bungalow. Buona e bellaLa struttura così come le casette, molto accoglienti e pulite. Non condivido l’assenza della pulizia giornaliera, con sostituzione scegli asciugamani. DaMigliorare gli orari del bar ( alle ore 7 del mattino ancora chiuso ) ed il servizio piscina."|"Camping Village Firenze"|"05/07/2019"|"TRAINING"|"ce"
