"utente"|"commento"|"hotel"|"datains"|"tipo_lista"|"labelpers"
"263ilariab"|"La posizione del campeggio e' perfetta per chi ama muoversi a piedi o in bicicletta.A meta' strada tra i paesi di Dobbiaco e Villabassa,entrambi comodamente raggiungibili a piedi,il campeggio ha di fronte una serie di piste ciclabili e alle spalle un bosco che si presta a mille attivita' per bambini e famiglie.I servizi che offre il campeggio sono ottimi,diversi blocchi di servizi igienici sempre riscaldati e costantemente puliti,bagni a misura di bambino,stanza per lavare i cani,lavanderia con lavatrici e asciugatrici a gettone,stanza con fasciatoio.E' presente una piscina scoperta con annessi lettini ed ombrelloni e il campeggio offre anche un servizio navetta.Le fermate del bus sono situate comunque proprio fuori dal campeggio.Viene anche offerta una card per poter usufruire dei trasporti pubblici in tutto l'Alto Adige.E' presente anche un Caffe' ristorante pizzeria da poco rinnovato.Il personale e' molto cortese e disponibile.Personalmente mi sono trovata benissimo e lo raccomando senza alcuna esitazione."|"Camping Olympia"|"05/07/2019"|"TRAINING"|"so"
"63meme"|"Quest'anno abbiamo fatto il bis, c i siamo stati sia subito dopo ferragosto che ora in settembre, chiaramente la situazione e' diversa, ma malgrado le presenze in campeggio siano sicuramente e ovviamente diverse, la cura e la disponibilità del personale e dei servizi non e' cambiata, oramai sono anni che passiamo almeno un breve periodo in questa struttura, e non ci siamo mai pentiti, non mi dilungo sulla descrizione del posto, cosa già fatta in altre occasioni.Un grazie a tutto lo staff."|"Camping Sabbiadoro"|"05/07/2019"|"TRAINING"|"ce"
"79rudar"|"Il rifugio è situato in posizione strategica di fianco alla partenza della funivia, ed è presente anche il ristorante/pizzeria oltre che un bar/souvenir.La camera nel complesso buona con una bella vista a sud verso il mare e Catania...peccato per un po' di foschia mattutina! Inoltre abbiamo notato che le pareti della stanza non sono molto insonorizzate e a causa di ciò più la presenza di ospiti molto maleducati che fino a tarda notte (l'una e oltre) urlavano e i loro bambini che correvano e saltavano sulle scale e nei corridoi comuni non siamo a riusciti a dormire.Ottima la colazione varia (sia dolce che salato) e buono il servizio."|"Rifugio Sapienza"|"05/07/2019"|"TRAINING"|"ce"
"954dario"|"Ho soggiornato al camping europa nel week end con i miei figli ( 2 )  . Facile da trovare a Cavallino inoltre la reception ha lavorato velocemente ed  in 10 minuti eravamo nella unit . La casetta è confortevole e non manca davvero niente. Pulita a dovere. Certamente torneremo ."|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"ce"
"adocchiaperti"|"Ottimo hotel facilmente raggiungibile dalla tangenziale e a due passi dalla fiera di Bologna.Camere grandi, pulite e confortevoli. Molto comodo il phon in bagno potente e non come quelli che solitamente si trovano nelle altre strutture. Personale disponibile, colazione ricca e variegata per andare incontro a tutte le esigenze e a tutti i palati. Assolutamente da riprovare!"|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"TRAINING"|"ce"
"Alberto"|"Sapevo già che nella zona Austria-Alto Adige i campeggi sono molto belli e organizzati,a questo li batte tutti. Bagni sempre puliti, Servizi al top e personale molto cordiale. Sicuramente il miglior posto in cui soggiornare se volete visitare la Val Pusteria!"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"so"
"alberto f"|"posto centrale anche se pino di sensi unici, camera grande e comoda doppi letti alla francese, accogliente, calda e silenziosa, personale simpaticissimo e accorto,  garage, il tutto ad un prezzo incredibilmente basso, la colazione e self service."|"Parioli Bed & Business"|"05/07/2019"|"TRAINING"|"sp"
"Ale D"|"Classico hotel business. Si trova in comoda posizione tra l'autostrada e la città. C'è un ampio parcheggio esterno. Le camere sono ampie e ben arredate, dotate di tutti i comfort. Zone comuni con piacevole bar, grande reception. Il ristorante è di buon livello, non il solito ristorante da hotel. C'è anche una piccola ma attrezzata palestra. In complesso una buon soggiorno molto confortevole."|"Cosmopolitan Business Hotel"|"05/07/2019"|"TRAINING"|"ce"
"AleAnto16"|"Camping caro, troppo caro per quello che offre.Pro:- pineta e spiaggia sabbiosa all'interno del camping - bagni pulitiContro:- prezzi di alloggio elevati - piazzole piccole- prezzi di bar/minimarket/pizzeria esagerati- si pagano a parte wi-fi e docce calde (nonostante le tariffe già elevate)- area giochi per bambini non illuminata di sera- animazione mediocre e per nulla simpatica- spiaggia piccola e sovraffollata- c'è una seconda spiaggia nel campeggio molto bella accessibile attraverso un breve sentiero, che è quella che si vede nella foto del profilo del camping: quest'estate presentava almeno due metri di alga, non risultando dunque accessibile. Pulirla no??- poca cortesia da parte degli operatori del campeggio- scarsa qualità del sonno dovuta al mancato rispetto degli orari del silenzio, sia di pomeriggio che di notte- pizzeria/ristorante di scarsa qualità (una sera abbiamo mangiato delle pizze crude e in un'altra occasione abbiamo super-pagato una spigola di appena 250 gr.), oltre che tempi di attesa lunghissimi nonostante non fosse pieno.A prova di tutto ciò vi è la constatazione che ad agosto erano presenti molte piazzole vuote. 3 anni fa ricordo che si faceva la coda per entrare.Dopo un anno di lavoro avevo aspettative elevate per le tanto meritate ferie e sono rammaricato per non essermi trovato bene.Di sicuro non ci ritornerò."|"Camping Torre Castiglione"|"05/07/2019"|"TRAINING"|"sp"
"aleroby93"|"È solo la seconda volta che veniamo al camping Olympia ma torneremo tutte le volte che sarà possibile: è tutto perfetto, pulito, organizzato e accogliente. E la zona merita sicuramente tanti chilometri."|"Camping Olympia"|"05/07/2019"|"TRAINING"|"ce"
