commento;LABEL personas - Luis;tipo_lista
I gestori sono molto gentili e disponibili, la colazione e' ricca e offre molti prodotti tipici e di produzione propria. La posizione in un aranceto e la vista sull'Etna sono decisamente notevoli. Qualche problema con la televisione che non riusciva a sintonizzare i canali, francamente un problema marginale. Per raggiungere le camere dal parcheggio bisogna fare un breve tratto a piedi (cinquanta metri), in caso di pioggia puo' essere scomodo, ma garantisce silenzio e tranquillita'.â€¦;Researchers;TRAINING
Ci siamo  fermati solo due notti ma Ã¨  stata una  esperienza positivissima. Location  incantevole, proprietari gentilissimi e professionali. Rapporto qualitÃ   prezzo imbattibile. Lo consiglio vivamente anche  perchÃ©  in posizione  strategica  per visitare Taormina  e dintorni pur essendo  tranquillo e silenzioso, immerso come Ã¨  in un grande aranceto. Notevole anche la colazione con dolci freschi prodotti di alta qualitÃ   . Ci torneremo  sicuramente â€¦;Value Seekers;TEST
Pasqua 2019. Tutto perfetto. Dire altro significa dimenticare qualcosa. Alessandro e la moglie cordiali e ospitali. posto tranquillo nel verde , colorato di arancione ðŸŠ e giallo ðŸ‹ Buona vacanza a tutti.;Researchers;TRAINING
Ci hanno assegnato una grande camera al piano rialzato molto pulita, arredata con gusto,  molta attenzione ai partcolari con comodissime prese usb e tv interattiva, bagno spazioso e dotato di ogni accessorio ma la vera sorpresa Ã¨ stata la colazione... torte fatte in casa e cornetti non congelati oltre alla grande simpatia di Alessandro e Laura prodighi di molti consigli. Ottimo rapporto qualitÄ prezzo. Superconsigliatissimoâ€¦;Value Seekers;TEST
ho soggiornato presso questa struttura dopo aver letto varie recensioni, che aggiungere ancora, tutto ottimo , la casa Ã¨ inserita in un aranceto e si puÃ² fare la colazione all'aperto . Le stanze e il bagno sono perfetti e pulitissimi.un grazie  a Alessandro e Laura.;Researchers;TEST
Ottima location ottima sistemazione. Una perfetta sistemazione per chi vuole visitare Taormina e dintorni. Facile da raggiungere.Stanza perfetta ed ampia. Nulla da eccepire. Servizio ottimo e prima colazione molto soddisfacente.Un punteggio pieno a 5 stelle !Alla prossima;Independent Travelers;TEST
Ne avrei date 10,100,1000 di stelle ma il massimo Ã¨ 5....solo di cortesia da parte di Laura e Alessandro e dalla simpatia del mitico amico a 4 zampe....ci hanno aiutato a trovare tutte le localitÃ  indicandoci le vie da percorrere e sempre disponibili a tutto pur di aiutarci essendo la prima volta in Sicilia!!!! Appena arrivate ci siamo trovate immerse da aranceti dal profumo fantastico, camera con visuale panoramica e difronte a noi l Etna... Lontane dal caos cittadino, abbiamo respirato pace e tranquillitÃ !!!! camere ampie, pulizia eccellente, colazione ricca di tutto, dal dolce al salato!!! Rapporto qualitÃ  prezzo ottimo!!!! Sarei rimasta volentieri un altra settimana!!!! Davvero davvero tutto fantastico;Social Travelers;TEST
Da subito abbiamo riscontrato gran cortesia e disponibilitÃ  da parte di Alessandro, dalla fase della prenotazione al ricevimento in struttura. Gentilissima la moglie e simpaticissimi, una gran accoppiata. Disponibilissimi anche nell'indicarci spiagge e paesi da visitare e locali dove poter cenare con piatti locali. Camere pulite e colazione abbondante. il Top. Grazie mille per il splendido soggiorno. Stefania e Massimo;Social Travelers;TEST
Poco distante da Taormina, questo delizioso B&B immerso in un agrumeto Ã¨ stata una piacevole esperienza. Camera spaziosa, ben arredata e pulita, con tutti i comfort, compreso un buon set da bagno. Unica ( leggera) pecca la colazione del mattino non per quantitÃ  ma per qualitÃ . Ci aspettavamo magari prodotti a km zero e non i succhi Parmalat o marmellate industriali e magari anche lo yogurt naturale. CiÃ² non toglie nulla al giudizio piÃ¹ che positivo, soprattutto verso i due titolari, gentilissimi, che si prodigano con cortesia nel venire incontro alle richieste dei clienti. Molto soddisfatti.;Luxury Travelers;TRAINING
Ottimo luogo per un soggiorno tranquillo a pochi minuti da Taormina ed altre localitÃ  turistiche. Camere ampie e pulite. Colazione ottima. Bella tutta la sistemazione degli esterni compreso un agrumeto che circonda il luogo. Molto gradevole  la vasca esterna  con vista Etna per piacevole idromassaggio pomeridiano al rientro.;Luxury Travelers;TEST
