commento;labelpers;tipo_lista;
I gestori sono molto gentili e disponibili, la colazione e' ricca e offre molti prodotti tipici e di produzione propria. La posizione in un aranceto e la vista sull'Etna sono decisamente notevoli. Qualche problema con la televisione che non riusciva a sintonizzare i canali, francamente un problema marginale. Per raggiungere le camere dal parcheggio bisogna fare un breve tratto a piedi (cinquanta metri), in caso di pioggia puo' essere scomodo, ma garantisce silenzio e tranquillita'.É?›;rs;TRAINING;
Ci siamo  fermati solo due notti ma «˘  stata una  esperienza positivissima. Location  incantevole, proprietari gentilissimi e professionali. Rapporto qualit«ˇ  prezzo imbattibile. Lo consiglio vivamente anche  perch«∏  in posizione  strategica  per visitare Taormina  e dintorni pur essendo  tranquillo e silenzioso, immerso come «˘  in un grande aranceto. Notevole anche la colazione con dolci freschi prodotti di alta qualit«ˇ  . Ci torneremo  sicuramente É?›;vs;TEST;
Pasqua 2019. Tutto perfetto. Dire altro significa dimenticare qualcosa. Alessandro e la moglie cordiali e ospitali. posto tranquillo nel verde , colorato di arancione –?ç? e giallo –?ç? Buona vacanza a tutti.;rs;TRAINING;
Ci hanno assegnato una grande camera al piano rialzato molto pulita, arredata con gusto,  molta attenzione ai partcolari con comodissime prese usb e tv interattiva, bagno spazioso e dotato di ogni accessorio ma la vera sorpresa «˘ stata la colazione... torte fatte in casa e cornetti non congelati oltre alla grande simpatia di Alessandro e Laura prodighi di molti consigli. Ottimo rapporto qualitéÅ prezzo. SuperconsigliatissimoÉ?›;vs;TEST;
ho soggiornato presso questa struttura dopo aver letto varie recensioni, che aggiungere ancora, tutto ottimo , la casa «˘ inserita in un aranceto e si pu«˝ fare la colazione all'aperto . Le stanze e il bagno sono perfetti e pulitissimi.un grazie  a Alessandro e Laura.;rs;TEST;
Ottima location ottima sistemazione. Una perfetta sistemazione per chi vuole visitare Taormina e dintorni. Facile da raggiungere.Stanza perfetta ed ampia. Nulla da eccepire. Servizio ottimo e prima colazione molto soddisfacente.Un punteggio pieno a 5 stelle !Alla prossima;it;TEST;
Ne avrei date 10,100,1000 di stelle ma il massimo «˘ 5....solo di cortesia da parte di Laura e Alessandro e dalla simpatia del mitico amico a 4 zampe....ci hanno aiutato a trovare tutte le localit«ˇ indicandoci le vie da percorrere e sempre disponibili a tutto pur di aiutarci essendo la prima volta in Sicilia!!!! Appena arrivate ci siamo trovate immerse da aranceti dal profumo fantastico, camera con visuale panoramica e difronte a noi l Etna... Lontane dal caos cittadino, abbiamo respirato pace e tranquillit«ˇ!!!! camere ampie, pulizia eccellente, colazione ricca di tutto, dal dolce al salato!!! Rapporto qualit«ˇ prezzo ottimo!!!! Sarei rimasta volentieri un altra settimana!!!! Davvero davvero tutto fantastico;st;TEST;
Da subito abbiamo riscontrato gran cortesia e disponibilit«ˇ da parte di Alessandro, dalla fase della prenotazione al ricevimento in struttura. Gentilissima la moglie e simpaticissimi, una gran accoppiata. Disponibilissimi anche nell'indicarci spiagge e paesi da visitare e locali dove poter cenare con piatti locali. Camere pulite e colazione abbondante. il Top. Grazie mille per il splendido soggiorno. Stefania e Massimo;st;TEST;
Poco distante da Taormina, questo delizioso B&B immerso in un agrumeto «˘ stata una piacevole esperienza. Camera spaziosa, ben arredata e pulita, con tutti i comfort, compreso un buon set da bagno. Unica ( leggera) pecca la colazione del mattino non per quantit«ˇ ma per qualit«ˇ. Ci aspettavamo magari prodotti a km zero e non i succhi Parmalat o marmellate industriali e magari anche lo yogurt naturale. Ci«˝ non toglie nulla al giudizio pi«˚ che positivo, soprattutto verso i due titolari, gentilissimi, che si prodigano con cortesia nel venire incontro alle richieste dei clienti. Molto soddisfatti.;lt;TRAINING;
Ottimo luogo per un soggiorno tranquillo a pochi minuti da Taormina ed altre localit«ˇ turistiche. Camere ampie e pulite. Colazione ottima. Bella tutta la sistemazione degli esterni compreso un agrumeto che circonda il luogo. Molto gradevole  la vasca esterna  con vista Etna per piacevole idromassaggio pomeridiano al rientro.;lt;TEST;
