utente;commento;hotel;dataIns;labelpers;tipo_lista
Zex;Piccolo ma veramente delizioso campeggio. Siamo stati qui per un fine settimana con un camper in 5. Piazzola media ma ben servita, market piccolino ma con la giusta offerta. Servizi completi, bagni molto ben curati, ristorante associato molto delizioso e gustoso. È stato un fine settimana decisamente rilassante e molto goduto. Ci tornerò di sicuro. …;Camping Olympia;05/07/2019;ce;TRAINING
ElisAlice;Campeggio situato imposizione perfetta per poter visitare comodamente più luoghi di interesse senza sprecare troppo tempo in auto. Ottimo per chi ha cani. Unica pecca ristorante chiuso il martedì sera. Consigliato;Camping Olympia;05/07/2019;ce;TRAINING
Alberto;Sapevo già che nella zona Austria-Alto Adige i campeggi sono molto belli e organizzati,a questo li batte tutti. Bagni sempre puliti, Servizi al top e personale molto cordiale. Sicuramente il miglior posto in cui soggiornare se volete visitare la Val Pusteria!;Camping Olympia;05/07/2019;ce;TRAINING
Desirè D;Ho soggiornato con mio marito per una settimana nelle sistemazioni alpine lodge e ci siamo trovati benissimo.Sono soluzioni abitative singole e autonome, delle vere e proprie casettine di legno vista montagna. La posizione del campeggio è comodissima per raggiungere tutti i vari punti di interesse della valle ( tra Dobbiaco e Villabassa), a 5 min di auto dall imbocco per Braies, stessa distanza da san candido, 40 min da Lienz e da brunico. I lodge sono stupendi, dei gioiellini, tutti in legno, molto spaziosi e con tutti i confort (bagno grande e moderno con asciugamani e carta igienica, cucina con tutte le stoviglie, strofinacci, tovaglia, frigo, microonde e lavastoviglie con annessa capsula, sacchetti per la spazzatura, zona living con divanetto, tv,tavolo da pranzo che da sulla bellissima vetrata esterna, tanti armadi sia in camera da letto e cameretta von letto a castello). Bellissima anche la veranda esterna con tavolo per mangiare fuori e stendino per i panni. La tranquillità che si respira qui non ha prezzo! Anche perché la zona dei lodge è separata da quella dei camperisti. Come servizi abbiamo utilizzato solo il noleggio bici interno e il ristorante-pizzeria samyr (ottima pizza e bellissimo ambiente).Lo consiglieremo ai nostri amici e familiari e cogliamo l'occasione per ringraziare lo staff molto gentile e disponibile.Da ritornarci assolutamente!;Camping Olympia;05/07/2019;ce;TRAINING
263ilariab;La posizione del campeggio e' perfetta per chi ama muoversi a piedi o in bicicletta.A meta' strada tra i paesi di Dobbiaco e Villabassa,entrambi comodamente raggiungibili a piedi,il campeggio ha di fronte una serie di piste ciclabili e alle spalle un bosco che si presta a mille attivita' per bambini e famiglie.I servizi che offre il campeggio sono ottimi,diversi blocchi di servizi igienici sempre riscaldati e costantemente puliti,bagni a misura di bambino,stanza per lavare i cani,lavanderia con lavatrici e asciugatrici a gettone,stanza con fasciatoio.E' presente una piscina scoperta con annessi lettini ed ombrelloni e il campeggio offre anche un servizio navetta.Le fermate del bus sono situate comunque proprio fuori dal campeggio.Viene anche offerta una card per poter usufruire dei trasporti pubblici in tutto l'Alto Adige.E' presente anche un Caffe' ristorante pizzeria da poco rinnovato.Il personale e' molto cortese e disponibile.Personalmente mi sono trovata benissimo e lo raccomando senza alcuna esitazione.;Camping Olympia;05/07/2019;ce;TEST
Alessandro M;Ottima struttura, personale disponibilissimo. Pulizie dei servizi molto buona. Dopo parecchi anni che andiamo, per noi è sempre un po' come tornare a casa. Buonissimo ristorante. Posto ideale per rilassarsi.;Camping Olympia;05/07/2019;ce;TRAINING
Elena V;Da tempo ormai è la nostra base per le gite in sud tirolo. Il campeggio offre una miriade di comodità (bagni riscaldati, stanza con fasciatoio e vaschetta, bagno e doccia per i piccoli, vasca per i cani, piscina, servizio navetta, card per i trasporti pubblici inclusa, mini zoo, noleggio bici...) e il personale è sempre cortese e premuroso. Il bus ferma proprio davanti all’ingresso. Ciliegina sulla torta: l’ottimo ristorante annesso! Davvero consigliato!;Camping Olympia;05/07/2019;ce;TRAINING
Simona B;Ho scelto questo campeggio per caso. Ottimo posto, tranquillo e molto pulito. Noi eravamo in camper e siamoo stati benissimo. se dovessi ritornare in val pusteria ritornerei in questo campeggio. Lo consiglio vivamente.;Camping Olympia;05/07/2019;ce;TEST
Andrea E;Tutto comincia due settimane prima del ns soggiorno in questa struttura. Telefono prima per prenotazione della piazzola 510 e successivamente mi viene confermata on line prenotazione e la piazzola prescelta. Prima del ns arrivo mi accerto nuovamente della prenotazione che mi viene confermata... Però la piazzola non è più disponibile è già stata occupata sebbene da loro conferma... Alla reception al mio arrivo si scusano ma niente si può fare... Prima delusione e nessun tentativo con chi occupa ormai la 510. Ci sistemiamo comunque.La sera dopo aver prenotato al ristorante del camping ordiniamo due pizze, la cameriera ci dice che ci sarà da aspettare 15 min. Mia figlia 12 anni ha fame e dopo 45 min di attesa ci alziamo Avvisiamo e lasciamo questa specie di ristorante dove nessuno si scusa del disservizio anzi... Così si libera il tavolo!! Il camping non offre un gran ché ed è pure triste... Credo che non ci metteremo più piede e non lo consiglierò mai a nessuno... Un vero schifo.;Camping Olympia;05/07/2019;ce;TRAINING
aleroby93;È solo la seconda volta che veniamo al camping Olympia ma torneremo tutte le volte che sarà possibile: è tutto perfetto, pulito, organizzato e accogliente. E la zona merita sicuramente tanti chilometri.;Camping Olympia;05/07/2019;ce;TEST
Alessandro R;Sono stato tre giorni  e sono rimasto molto soddisfatto della permanenza in questo camping piscina non molto bella ma con 40 gradi diventa bella, stanze molto belle anche se un po' piccoline ma ne vale la pena farsi una vacanza qui;Camping Village Firenze;05/07/2019;ce;TRAINING
faret06;Molto bello e pulito piazzole spaziose e piscina accessibile a tutti. vicino ai mezzi pubblici e con la possibilità di arrivare a 20 min dal centro (a piedi) con la navetta. Inoltre per chi volesse ci sono  l'area barbecue, il market e un ristorante   ;Camping Village Firenze;05/07/2019;ce;TRAINING
marty28cumpa;Si sa che quando si va nei campeggi ci si deve adattare a quello che si trova, ma il camping village Firenze è stata proprio una piacevole sorpresa. Bello, pulito e la piscina fantastica. Lo consiglio vivamente, anche perché è a due 10 minuti dal centro di Firenze e dal ma dal Mandela forum, quindi ottimo punto strategico anche dopo un concerto per chi viene da fuori.…;Camping Village Firenze;05/07/2019;ce;TEST
Mario Iodice;Sono stato questo weekend presso questo villaggio camping con alcuni amici ognuno sistemato in un bungalow. Buona e bellaLa struttura così come le casette, molto accoglienti e pulite. Non condivido l’assenza della pulizia giornaliera, con sostituzione scegli asciugamani. DaMigliorare gli orari del bar ( alle ore 7 del mattino ancora chiuso ) ed il servizio piscina.;Camping Village Firenze;05/07/2019;ce;TRAINING
RomaDado;Soggiorno di soli due giorni presso questa struttura che abbiamo prenotato non conoscendola. E' stata una buona rivelazione perché risulta essere vicina al luogo di interesse che nella fattispecie è Firenze.  E' ben organizzata in tutto, a partire dalla reception,  alle casette che sono complete di tutto e soprattutto ben pulite. Anche le stoviglie sono assolutamente utilizzabili. Noi siamo in tre ed avevamo due camere e due bagni con docce comodissime nello stesso chalet. L'unica pecca è l'assenza del bidet che a noi italiani piace tanto. Buono il market, il ristorante birreria e il servizio navetta che porta a Firenze (forse da estendere l'ultimo orario di ritorno serale che è alle ore 19.15);Camping Village Firenze;05/07/2019;ce;TRAINING
