"utente"|"commento"|"hotel"|"dataIns"|"labelpers"|"tipo_lista"
"1964Marcello"|"Bungalow accogliente e pulitissimo, con ogni accessorio per il confort. Logistica curata, ristorante di ottimo livello e con grande scelta. Accoglienza e servizi degni di nota compreso l'utilizzo della piscina fuori stagione molto apprezzato dai ragazzi. Prezzo complessivo assai buono. Unica pecca la colazione continentale senza brioche e di prezzo troppo elevato."|"Camping Village Firenze"|"05/07/2019"|"sp"|"TEST"
"263ilariab"|"La posizione del campeggio e' perfetta per chi ama muoversi a piedi o in bicicletta.A meta' strada tra i paesi di Dobbiaco e Villabassa,entrambi comodamente raggiungibili a piedi,il campeggio ha di fronte una serie di piste ciclabili e alle spalle un bosco che si presta a mille attivita' per bambini e famiglie.I servizi che offre il campeggio sono ottimi,diversi blocchi di servizi igienici sempre riscaldati e costantemente puliti,bagni a misura di bambino,stanza per lavare i cani,lavanderia con lavatrici e asciugatrici a gettone,stanza con fasciatoio.E' presente una piscina scoperta con annessi lettini ed ombrelloni e il campeggio offre anche un servizio navetta.Le fermate del bus sono situate comunque proprio fuori dal campeggio.Viene anche offerta una card per poter usufruire dei trasporti pubblici in tutto l'Alto Adige.E' presente anche un Caffe' ristorante pizzeria da poco rinnovato.Il personale e' molto cortese e disponibile.Personalmente mi sono trovata benissimo e lo raccomando senza alcuna esitazione."|"Camping Olympia"|"05/07/2019"|"so"|"TRAINING"
"63meme"|"Quest'anno abbiamo fatto il bis, c i siamo stati sia subito dopo ferragosto che ora in settembre, chiaramente la situazione e' diversa, ma malgrado le presenze in campeggio siano sicuramente e ovviamente diverse, la cura e la disponibilità del personale e dei servizi non e' cambiata, oramai sono anni che passiamo almeno un breve periodo in questa struttura, e non ci siamo mai pentiti, non mi dilungo sulla descrizione del posto, cosa già fatta in altre occasioni.Un grazie a tutto lo staff."|"Camping Sabbiadoro"|"05/07/2019"|"ce"|"TRAINING"
"79rudar"|"Il rifugio è situato in posizione strategica di fianco alla partenza della funivia, ed è presente anche il ristorante/pizzeria oltre che un bar/souvenir.La camera nel complesso buona con una bella vista a sud verso il mare e Catania...peccato per un po' di foschia mattutina! Inoltre abbiamo notato che le pareti della stanza non sono molto insonorizzate e a causa di ciò più la presenza di ospiti molto maleducati che fino a tarda notte (l'una e oltre) urlavano e i loro bambini che correvano e saltavano sulle scale e nei corridoi comuni non siamo a riusciti a dormire.Ottima la colazione varia (sia dolce che salato) e buono il servizio."|"Rifugio Sapienza"|"05/07/2019"|"ce"|"TRAINING"
"954dario"|"Ho soggiornato al camping europa nel week end con i miei figli ( 2 )  . Facile da trovare a Cavallino inoltre la reception ha lavorato velocemente ed  in 10 minuti eravamo nella unit . La casetta è confortevole e non manca davvero niente. Pulita a dovere. Certamente torneremo ."|"Europa Camping Village"|"05/07/2019"|"ce"|"TRAINING"
"adocchiaperti"|"Ottimo hotel facilmente raggiungibile dalla tangenziale e a due passi dalla fiera di Bologna.Camere grandi, pulite e confortevoli. Molto comodo il phon in bagno potente e non come quelli che solitamente si trovano nelle altre strutture. Personale disponibile, colazione ricca e variegata per andare incontro a tutte le esigenze e a tutti i palati. Assolutamente da riprovare!"|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"ce"|"TRAINING"
"Alberto"|"Sapevo già che nella zona Austria-Alto Adige i campeggi sono molto belli e organizzati,a questo li batte tutti. Bagni sempre puliti, Servizi al top e personale molto cordiale. Sicuramente il miglior posto in cui soggiornare se volete visitare la Val Pusteria!"|"Camping Olympia"|"05/07/2019"|"so"|"TRAINING"
"Alberto Caleca"|"Diverse volte ho soggiornato in questo hotel, buona accoglienza e ottima ristorazione ( a prezzi corretti per Bologna)... La camera assegnata con muro sporco... Ultimo giorno acqua calda assente in doccia e per 3 giorni wifi lentissimo (lamentela condivisa da altri ospiti)...non scaricava nemmeno i messaggi di WhatsApp... Figurati potere lavorare..."|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"sp"|"TEST"
"alberto f"|"posto centrale anche se pino di sensi unici, camera grande e comoda doppi letti alla francese, accogliente, calda e silenziosa, personale simpaticissimo e accorto,  garage, il tutto ad un prezzo incredibilmente basso, la colazione e self service."|"Parioli Bed & Business"|"05/07/2019"|"sp"|"TRAINING"
"Ale D"|"Classico hotel business. Si trova in comoda posizione tra l'autostrada e la città. C'è un ampio parcheggio esterno. Le camere sono ampie e ben arredate, dotate di tutti i comfort. Zone comuni con piacevole bar, grande reception. Il ristorante è di buon livello, non il solito ristorante da hotel. C'è anche una piccola ma attrezzata palestra. In complesso una buon soggiorno molto confortevole."|"Cosmopolitan Business Hotel"|"05/07/2019"|"ce"|"TRAINING"
"AleAnto16"|"Camping caro, troppo caro per quello che offre.Pro:- pineta e spiaggia sabbiosa all'interno del camping - bagni pulitiContro:- prezzi di alloggio elevati - piazzole piccole- prezzi di bar/minimarket/pizzeria esagerati- si pagano a parte wi-fi e docce calde (nonostante le tariffe già elevate)- area giochi per bambini non illuminata di sera- animazione mediocre e per nulla simpatica- spiaggia piccola e sovraffollata- c'è una seconda spiaggia nel campeggio molto bella accessibile attraverso un breve sentiero, che è quella che si vede nella foto del profilo del camping: quest'estate presentava almeno due metri di alga, non risultando dunque accessibile. Pulirla no??- poca cortesia da parte degli operatori del campeggio- scarsa qualità del sonno dovuta al mancato rispetto degli orari del silenzio, sia di pomeriggio che di notte- pizzeria/ristorante di scarsa qualità (una sera abbiamo mangiato delle pizze crude e in un'altra occasione abbiamo super-pagato una spigola di appena 250 gr.), oltre che tempi di attesa lunghissimi nonostante non fosse pieno.A prova di tutto ciò vi è la constatazione che ad agosto erano presenti molte piazzole vuote. 3 anni fa ricordo che si faceva la coda per entrare.Dopo un anno di lavoro avevo aspettative elevate per le tanto meritate ferie e sono rammaricato per non essermi trovato bene.Di sicuro non ci ritornerò."|"Camping Torre Castiglione"|"05/07/2019"|"sp"|"TRAINING"
"aleroby93"|"È solo la seconda volta che veniamo al camping Olympia ma torneremo tutte le volte che sarà possibile: è tutto perfetto, pulito, organizzato e accogliente. E la zona merita sicuramente tanti chilometri."|"Camping Olympia"|"05/07/2019"|"ce"|"TRAINING"
"Alessandra"|"Camere accoglienti e calde (forse anche troppo). Ottima la pulizia e la posizione, a due passi dalla funivia dell'Etna. Personale gentile e flessibiltà di check-in. Colazione a buffet abbondante e con vasta scelta. Parcheggio gratuito in loco. Da provare!"|"Rifugio Sapienza"|"05/07/2019"|"ce"|"TRAINING"
"Alessandra M"|"Nuovissima struttura, super moderna, stanze ampie, atmosfera con luci colorate in doccia, luce di cortesia toilette, arredamento moderno avvolgente, punti luce touch-screen con led blu il personale gentile e professionale, colazione favolosa."|"8piuhotel"|"05/07/2019"|"ce"|"TEST"
"Alessandra P"|"Abbiamo soggiornato presso l hotel Halanus per il nostro anniversario ed abbiamo scelto la suite 'Terra'..l'atmosfera in camera è davvero romantica..idromassaggio e sauna spettacolari..personale gentile e molto cortese..torneremo sicuramente per provare anche le altre suite a tema!consigliatissimo!…"|"Halanus Hotel & Resort"|"05/07/2019"|"lx"|"TRAINING"
"Alessandro M"|"Ottima struttura, personale disponibilissimo. Pulizie dei servizi molto buona. Dopo parecchi anni che andiamo, per noi è sempre un po' come tornare a casa. Buonissimo ristorante. Posto ideale per rilassarsi."|"Camping Olympia"|"05/07/2019"|"ce"|"TRAINING"
"Alessandro R"|"Sono stato tre giorni  e sono rimasto molto soddisfatto della permanenza in questo camping piscina non molto bella ma con 40 gradi diventa bella, stanze molto belle anche se un po' piccoline ma ne vale la pena farsi una vacanza qui"|"Camping Village Firenze"|"05/07/2019"|"ce"|"TRAINING"
"Alessandro Z."|"La nostra permanenza è durata forse un ora.Volevo trascorre con la mia famiglia una giornata in pieno relax,ma purtroppo l'educazione di un addetta alla scuderia non è stata affatto amichevole e coinvolgente e abbiamo deciso di togliere subito il disturbo.. La signora e stata sgorbutica e burbera, non ci ha degnato di una parola ed e stata maleducata con mio figlio.Persona non all'altezza ad avere un approccio armonioso con i clienti. Mi dispiace per i titolari dell'agriturismo che si sono dimostrati gentili con noi, ma se alla signora davamo fastidio bastava dirlo subito.Fossi in loro la licenzierei in tronco. A mai più"|"Agriturismo & Scuderia della Valle"|"05/07/2019"|"so"|"TRAINING"
"ALESSIA"|"Ho soggiornato un weekend con la famiglia per un evento sportivo nelle vicinanze ed è stato tutto perfetto! Siamo stati accolti con gentilezza e professionalità. La stanza era grande e spaziosa, ben arredata, molto pulita, con in omaggio prodotti di cortesia per il bagno, caffè solubile, biscotti, the (con bollitore a disposizione). Molto bella la palestra e la sauna all'ultimo piano. Il parcheggio di fronte era libero. Il prezzo è stato super conveniente. E i bimbi si sono divertiti a scovare le lepri che vivono proprio nel giardino dell'hotel!"|"Crowne Plaza Milan Linate"|"05/07/2019"|"sp"|"TRAINING"
"alessibax"|"Camera quadrupla, quattro letti molto confortevoli, materasso perfetto, bagno moderno Arredamento molto curato e pulizia impeccabile. WiFi ottimo. Colazione tutto fresco, torte favolose, opzione salato inclusa. Provato anche il ristorante per la cena e anche per il cibo servito confermiamo il nostro giudizio positivo alla struttura. Consigliato,vista lo posizione, svegliarsi presto per vedere l'alba."|"Rifugio Sapienza"|"05/07/2019"|"ce"|"TRAINING"
"Alessio M"|"Abbiamo soggiornato nella casa mobile “L”, con tutto il necessario per trascorrere la vacanza. Tempestivi i tecnici per sistemazione perdita lavandino e sostituzione cappa, complimenti. Disponibile anche il personale alla reception. Delusione totale per quanto riguarda l’animazione che è incentrata esclusivamente per intrattenere bambini, diciamo inferiori ai 10 anni, e in ogni caso con attività ripetitive. Le piscine non sono male anche se si fatica a trovare una sdraio libera se si arriva dopo l’apertura. Infine la rete Wi-Fi è molto scadente, quando si riesce a prendere il segnale è intermittente e si perde in continuazione. Nel complesso valuto tre stelle come quelle che sono state assegnate al camping."|"Camping Sabbiadoro"|"05/07/2019"|"so"|"TRAINING"
"Alex Milano"|"Prima Ata ora UnaHotels mantiene, anzi migliora, lo standard già molto buono. Plus: per i viaggiatori business la posizione adiacente la tangenziale, il garage incluso nel prezzo, la dimensione generosa e superiore alla media delle camere con ampio bagno e super doccia Teuco e, soprattutto, la pulizia che domina tutti gli ambienti, privati e comuni. Bravissime le ragazze in sala colazione, raramente ho visto un ambiente così curato. Personale gentile in generale. Minus: non esiste il benché minimo spazio esterno e come già segnalato da un collega le tende oscuranti lasciano filtrare la luce dell'alba disturbando il sonno. Il bar non offre molte etichette tra cui scegliere. Rapporto qualità prezzo strepitoso.…"|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"sp"|"TRAINING"
"AlexTagadà"|"location discreta anche se si potrebbe fare meglio rinnovando le camere e le parti comuni. parcheggio comodo a pagamento. personale gentile. ambiente molto grande. non ho provato la colazione che non era inclusa nel prezzo e dal costo elevato"|"Starhotels Business Palace"|"05/07/2019"|"sp"|"TEST"
"alfatocoferolo"|"Siamo andati quattro giorni con la mia famiglia, buona esperienza nel complesso. I PRO sono che il personale è davvero gentile ed efficiente, ogni tanto mi omaggiavano un amaro, ci hanno lasciato la camera qualche oretta in più dopo l'orario di consegna ed erano infinitamente pazienti coi miei figli. Altro vantaggio, la neve è a portata di mano, posteggi nel parcheggio del Rifugio e non la macchina non la usi praticamente più, se non per pochi metri. CONTRO, durante la permanenza hanno ben deciso di dare una pulita a tutta la struttura, ragion per cui avevamo rumori molesti a tutti gli orari (non di notte, ovviamente) e odore di prodotti chimici per la pulizia, all'ingresso. Altro contro, il riscaldamento non è autonomo, i termosifoni partivano a certi orari e senza possibilità di regolarli, morale della favola: la notte si moriva letteralmente di caldo. Ultimo aspetto criticabile, il ristorante. Le pizze non erano male, porzioni molto abbondanti tra l'altro ma antipasti e primi erano bruttarelli. Ho preso un antipasto misto, c'erano dentro caponata, peperonata, omelette, formaggi, salumi e altro, tutto immerso nello stesso olio, era molto pesante e sicuramente non si gustavano i vari sapori. Vino, davvero brutto. Il danno è che a pranzo c'erano delle alternative nei ristorantini intorno ma la sera c'è solo il Rifugio aperto, per cui o cenavi lì o cenavi lì.Nel complesso, una buona vacanza."|"Rifugio Sapienza"|"05/07/2019"|"ce"|"TRAINING"
"Altoatesino"|"Ho soggiornato con la mia famiglia per due settimane al camping Torre Castiglione nel mese di Giugno. Nel complesso siamo stati bene e il soggiorno è stato davvero piacevole. Sicuramente ci sono alcuni aspetti da migliorare.  Abbiamo alloggiato nella mobilhome deluxe. Si tratta di strutture nuove, dotate di climatizzatore, una bella veranda con ampio spazio dove poter mangiare, un bagno piccolo ma dotato del necessario (doccia calda, bidet, lavandino, wc). Vi sono poi  due camere da letto, una matrimoniale ed una con due letti singoli. Se è vero che i materassi non sono grandi, è altrettanto vero che sono piuttosto comodi (aspetto fondamentale per il sottoscritto). Completa la struttura una piccola cucina con un tavolino. Sicuramente migliorabile la dotazione della cucina che risulta essere minimale (qualche posata e qualche piatto in più non guasterebbe). Ottima la pulizia dell’alloggio al nostro arrivo. L’accesso alla spiaggia è immediato, con 3 minuti a piedi si raggiunge la meravigliosa spiaggia privata del camping (ai lati c’è spiaggia libera). Abbiamo potuto godere dei colori meravigliosi che questo angolo di Salento offre. Nel mese di Giugno, personalmente ritengo sia ai livelli della Sardegna (anche superiore in alcuni casi). Completa la magica atmosfera la possibilità di prenotare l’ombrellone con la comodità di poter lasciare i vari giochi dei bambini per tutta la vacanza. I bravissimi bagnini (Matteo e Joele) sono sempre presenti e vigili su tutto e tutti.  La prima settimana di vacanza è stata allietata dalla meravigliosa animazione proposta dal capo animatore Enrico, affiancato da dj Pasquale e da Martina e Maridora (che hanno instaurato un bellissimo rapporto con i più piccoli). I ragazzi hanno saputo coinvolgere gli ospiti (sia i più piccoli che i più grandi) con un’animazione simpatica, varia e mai invadente. Durante la seconda settimana, nonostante qualche problema organizzativo, l’animazione è comunque stata presente anche grazie al supporto di Alessio. All’interno della struttura è presente un bar, un mini market (ben fornito) è un ristorante dove si può mangiare del buon pesce (o anche la pizza). I gestori ed il personale sono persone davvero gentili e disponibili sempre pronte a soddisfare i bisogni degli ospiti. Passando agli aspetti da migliorare: - una struttura 4 stelle a mio avviso dovrebbe prevedere Wi-Fi gratuito per gli ospiti, almeno nelle  zone comuni  - dotazioni della cucina troppo minimali  - lavatrici a disposizione degli ospiti sono un po’ datate e una delle 3 è stata fuori servizio per 14 giorni  - docce calde a pagamento per chi alloggia in camper  - campo da calcetto a pagamento  - chiosco in spiaggia ancora chiuso a Giugno (ritengo che all’apertura dovrebbe essere già tutto funzionante ed operativo).…"|"Camping Torre Castiglione"|"05/07/2019"|"so"|"TRAINING"
"AndPed"|"Come ogni anno torniamo al Cosmopolitan per una giornata di workshop! Tutto perfetto, dall'organizzazione della parte meeting al food/beverage sempre al top. Camere spaziose, pulite e letto SUPER COMODO! A presto"|"Cosmopolitan Business Hotel"|"05/07/2019"|"ce"|"TEST"
"Andrea D"|"Probabilmente uno dei migliori hotel dove abbia mai soggiornato.Per la qualità della camera (suite eccelsa!), la cortesia e la professionalità dello staff (impagabili!), per la location (centro pedonale - ma raggiungibile con i propri mezzi - nel cuore di Silandro), per la colazione (quantità e qualità al buffet con pochi paragoni). Biker friendly, si aggiunga, visto che dispone, oltre che di un proprio parcheggio privato, di un ampio garage per bici e, appunto, moto. Non abbiamo avuto modo di testare il centro benessere (impegnati come eravamo a scorrazzare per i dintorni, magnifici), ma siamo stati coccolati ampiamente durante il nostro soggiorno. Prenotate per tempo visto che la reputazione ottima lascia spesso ben poche camere a disposizione. Onestissimo il rapporto qualità prezzo. Solo due parole, per chiudere: Complimenti, Grazie!!!"|"Genusshotel Goldene Rose"|"05/07/2019"|"lx"|"TRAINING"
"Andrea E"|"Tutto comincia due settimane prima del ns soggiorno in questa struttura. Telefono prima per prenotazione della piazzola 510 e successivamente mi viene confermata on line prenotazione e la piazzola prescelta. Prima del ns arrivo mi accerto nuovamente della prenotazione che mi viene confermata... Però la piazzola non è più disponibile è già stata occupata sebbene da loro conferma... Alla reception al mio arrivo si scusano ma niente si può fare... Prima delusione e nessun tentativo con chi occupa ormai la 510. Ci sistemiamo comunque.La sera dopo aver prenotato al ristorante del camping ordiniamo due pizze, la cameriera ci dice che ci sarà da aspettare 15 min. Mia figlia 12 anni ha fame e dopo 45 min di attesa ci alziamo Avvisiamo e lasciamo questa specie di ristorante dove nessuno si scusa del disservizio anzi... Così si libera il tavolo!! Il camping non offre un gran ché ed è pure triste... Credo che non ci metteremo più piede e non lo consiglierò mai a nessuno... Un vero schifo."|"Camping Olympia"|"05/07/2019"|"ce"|"TRAINING"
