,utente,commento,hotel,dataIns,rating
0,luca m,"È la quarta volta che soggiorniamo presso qs struttura e ci siamo sempre trovati benissimo. Quest'anno abbiamo pernottato nelle nuovissime camere appena realizzate,che dire molto molto belle,confortevoli e ben insonorizzate. Il servizio ristorante sempre eccellente e i camerieri super disponibili(grazie Antonio). Molto disponibili e pronte a soddisfare ogni richiesta le ragazze/zi della receptions. È in fase di ultimazione un importante ristrutturazione che lo renderà ancora più elegante e confortevole. Sicuramente se dovessimo ritornare a Rimini nn avremmo dubbi dove soggiornare. Grazie a tutti Luca e famiglia…",Hotel Sporting Rimini,2019-07-05,5 stelle
1,belladonnadaniele,"Albergo pulito, colazione ottima ed abbondante. Posizione centralissima, uniche 2 pecche, parcheggio inesistente, non danno nemmeno dei pass per poter parcheggiare nelle strisce blu come invece mi avevano detto al telefono, il portiere notturno mi ha detto che potevo metterla nel parcheggio interno alla modica cifra di 20€ a notte! Check-in dalle 14, fino le 15 la camera non era pronta.…",Hotel Sporting Rimini,2019-07-05,4 stelle
2,giulyso75,"Abbiamo trascorso cinque giorni in questo hotel, tutto perfetto dal ricevimento, alla camera, ai pasti. Situato fronte mare offre un panorama stupendo, bella la piscina per quando il mare non è bellissimo. I miei bambini sono stati molto bene, si sono divertiti in piscina e il piccolo alla sera andava agli spettacoli e ai giochi al cineclub, grazie Sofia!!!!! La sala da pranzo ben curata, camerieri gentili e disponibili, il buffet vario, un po' per tutti i gusti. Unico neo, che secondo me non va bene, è  la moquette nelle camere. La struttura sta per essere ultimata e a fine lavori sarà al top. Grazie sicuramente torneremo!!!!!…",Hotel Sporting Rimini,2019-07-05,4 stelle
3,Marty S,"Abbiamo passato 7 giorni in questo splendido hotel e ci è dispiaciuto andare via perché siamo stati veramente bene: la posizione dell'albergo è ottima a pochissimi passi dal mare e una zona della città molto viva, non abbiamo mai usato la macchina in 7 giorni. Ottimo ristorante a partire dalla colazione molto varia fino alla cena con un buffet ricco. Mini club per bambini con animatrici molto brave e simpatiche camere ampie con un bel terrazzino. Unica pecca è che ci siamo trovati in periodo di lavori di ristrutturazione e quindi ci sono stati alcuni inconvenienti, a partire dai pochi posti disponibili nel parcheggio privato e dall'assenza di una rampa d'accesso, a passeggini e disabili, all' interno dell'hotel. In questo caso sarebbe stata utile una rampa prossivoria posizionata sulle scale.…",Hotel Sporting Rimini,2019-07-05,5 stelle
4,Luca N,"Hotel molto bello, vista mare facile da raggiungere, tre stelle perché 5 è il massimo e non trovare parcheggio non è il massimo, la camera bella il bagno da rivedere, doccia piccola con portasapone altezza testa con il quale ci si può far male (mai visto niente di simile) ricevimento tutti molto gentili e disponibili, molto pulito.  Nota negativa la cena, avendo chiesto di cenare ci è stata data la possibilità.... Però alle 21.30 anno iniziato a portare via il buffet come prassi probabilmente di chi sceglie la mezza pensione.... Se chiedo di cenare ed arrivo alle 21 non possono smontare alle 21.30 questo il motivo principale delle 3 stelle…",Hotel Sporting Rimini,2019-07-05,3 stelle
5,Angelo R,"Al di là del fatto che a Rimini si paga ANCHE L'ARIA, l'hotel è accogliente. Ero a Rimini per un convegno e non ho dormito qui, ma al Continental (dello stesso gruppo). Il servizio è ottimo, ma hanno avuto qualche problema di intasamento al nostro arrivo. La cosa che mi ha infastidito è stata l'assoluta assenza di organizzazione nel soddisfare la richiesta di parcheggio auto. Come si fa ad organizzare convegni senza disponibilità di posti auto in un posto (Rimini) dove per parcheggiare occorre pagare circa trenta euro al giorno?",Hotel Sporting Rimini,2019-07-05,3 stelle
6,Flavia M,"Ogni volta che arrivo al hotel Sporting è una grandissima Gioia, vengo accolta come a casa. Ci sono persone che mi coccolano e mi trattano come una perla preziosa; sempre gentili sempre a disposizione sempre pronti ad esaudire ed anticipare ogni singola richiesta. Tanti amici cari che offrono davvero un  servizio eccellente. Il cibo o sempre abbondante e buonissimo. Per me l'hotel Sporting  è 5 stelle a 360°. F. M.",Hotel Sporting Rimini,2019-07-05,5 stelle
7,Emiliano170272,"Ottimo hotel!Peccato che è in corso una ristrutturazione e il prospetto così come le camere non sono tutte disponibili.Posizione centralissima.Ottimi comfort e facilitiesLocali raffinati, moderni e di gusto Colazione eccellente!!!",Hotel Sporting Rimini,2019-07-05,4 stelle
8,paola p,"abbiamo soggiornato per una notte con cofanetto Emozione 3 nel primo weekend di giugno, nessun problema di prenotazione, servizio eccellente, ci è stata assegnata una camera con terrazzino vista mare dotata di ogni comfort, bagno completo con ottimo set di cortesia. Personale cortese e molto disponibile. Bella piscina con lettini a disposizione degli ospiti. Sala colazione molto elegante e curata con vetrata panoramica, vasta scelta sia dolce che salata ed orario molto flessibile. Super consigliato",Hotel Sporting Rimini,2019-07-05,4 stelle
9,abcd02,"personale ottimo, belle stanze, cucina casalinga ma accurata, solo..... non chiedete le stanze vista mare, non si dorme a causa dei locali sul lungo mare, o degli eventi che l'hotel organizza in piscina. Meglio affacciarsi e vedere le colline....per altro le stanze sul lato interno sono rinnovate e davvero bellissime.",Hotel Sporting Rimini,2019-07-05,4 stelle
