,hotel,indirizzo,rating,dataIns
0,Camping Olympia,"Camping Olympia, 1 3904 Toblach, 39034 Dobbiaco Italia",,2019-07-05
1,Camping Olympia,"Camping Olympia, 1 3904 Toblach, 39034 Dobbiaco Italia",,2019-07-05
2,Camping Olympia,"Camping Olympia, 1 3904 Toblach, 39034 Dobbiaco Italia",,2019-07-05
3,Camping Olympia,"Camping Olympia, 1 3904 Toblach, 39034 Dobbiaco Italia",,2019-07-05
4,Camping Village Firenze,"Via Generale Dalla Chiesa 1-3, 50136, Firenze Italia",,2019-07-05
5,Camping Village Firenze,"Via Generale Dalla Chiesa 1-3, 50136, Firenze Italia",,2019-07-05
6,Camping Village Firenze,"Via Generale Dalla Chiesa 1-3, 50136, Firenze Italia",,2019-07-05
7,Camping Village Firenze,"Via Generale Dalla Chiesa 1-3, 50136, Firenze Italia",,2019-07-05
8,Camping Torre Castiglione,"Torre Lapillo 30, 73010, Porto Cesareo Italia",,2019-07-05
9,Camping Torre Castiglione,"Torre Lapillo 30, 73010, Porto Cesareo Italia",,2019-07-05
10,Camping Torre Castiglione,"Torre Lapillo 30, 73010, Porto Cesareo Italia",,2019-07-05
11,Camping Torre Castiglione,"Torre Lapillo 30, 73010, Porto Cesareo Italia",,2019-07-05
12,Camping Sabbiadoro,"Via Sabbiadoro 8, 33054, Lignano Sabbiadoro Italia",,2019-07-05
13,Camping Sabbiadoro,"Via Sabbiadoro 8, 33054, Lignano Sabbiadoro Italia",,2019-07-05
14,Camping Sabbiadoro,"Via Sabbiadoro 8, 33054, Lignano Sabbiadoro Italia",,2019-07-05
15,Camping Sabbiadoro,"Via Sabbiadoro 8, 33054, Lignano Sabbiadoro Italia",,2019-07-05
16,Europa Camping Village,"Via Fausta 332 Loc. Valle Dolce, 30013, Cavallino-Treporti Italia",,2019-07-05
17,Europa Camping Village,"Via Fausta 332 Loc. Valle Dolce, 30013, Cavallino-Treporti Italia",,2019-07-05
18,Europa Camping Village,"Via Fausta 332 Loc. Valle Dolce, 30013, Cavallino-Treporti Italia",,2019-07-05
19,Europa Camping Village,"Via Fausta 332 Loc. Valle Dolce, 30013, Cavallino-Treporti Italia",,2019-07-05
20,Camping Village Marina di Venezia,"Via Montello, 6, 30013, Cavallino-Treporti Italia",,2019-07-05
21,Camping Village Marina di Venezia,"Via Montello, 6, 30013, Cavallino-Treporti Italia",,2019-07-05
22,Camping Village Marina di Venezia,"Via Montello, 6, 30013, Cavallino-Treporti Italia",,2019-07-05
23,Camping Village Marina di Venezia,"Via Montello, 6, 30013, Cavallino-Treporti Italia",,2019-07-05
24,Villaggio Camping Capo Ferrato,"Via Delle Ginestre,12, 09043 Costa Rei, Muravera, Sardegna Italia",,2019-07-05
25,Villaggio Camping Capo Ferrato,"Via Delle Ginestre,12, 09043 Costa Rei, Muravera, Sardegna Italia",,2019-07-05
26,Villaggio Camping Capo Ferrato,"Via Delle Ginestre,12, 09043 Costa Rei, Muravera, Sardegna Italia",,2019-07-05
27,Villaggio Camping Capo Ferrato,"Via Delle Ginestre,12, 09043 Costa Rei, Muravera, Sardegna Italia",,2019-07-05
28,Camping Village Capo d'Orso,"Località Le Saline Palau Sardegna, 07020, Palau, Sardegna Italia",,2019-07-05
29,Camping Village Capo d'Orso,"Località Le Saline Palau Sardegna, 07020, Palau, Sardegna Italia",,2019-07-05
30,Camping Village Capo d'Orso,"Località Le Saline Palau Sardegna, 07020, Palau, Sardegna Italia",,2019-07-05
31,Camping Village Capo d'Orso,"Località Le Saline Palau Sardegna, 07020, Palau, Sardegna Italia",,2019-07-05
32,Rifugio Sapienza,"Piazza Rifugio Sapienza SNC, 95030 Nicolosi, Sicilia Italia",,2019-07-05
33,Rifugio Sapienza,"Piazza Rifugio Sapienza SNC, 95030 Nicolosi, Sicilia Italia",,2019-07-05
34,Rifugio Sapienza,"Piazza Rifugio Sapienza SNC, 95030 Nicolosi, Sicilia Italia",,2019-07-05
35,Rifugio Sapienza,"Piazza Rifugio Sapienza SNC, 95030 Nicolosi, Sicilia Italia",,2019-07-05
36,Rifugio Lagazuoi,"Monte Lagazuoi, 2752, 32043 Cortina d'Ampezzo Italia",,2019-07-05
37,Rifugio Lagazuoi,"Monte Lagazuoi, 2752, 32043 Cortina d'Ampezzo Italia",,2019-07-05
38,Rifugio Lagazuoi,"Monte Lagazuoi, 2752, 32043 Cortina d'Ampezzo Italia",,2019-07-05
39,Rifugio Lagazuoi,"Monte Lagazuoi, 2752, 32043 Cortina d'Ampezzo Italia",,2019-07-05
40,Agriturismo & Scuderia della Valle,"Via Prabutè, 2, 24038 Valsecca, Sant'Omobono Terme Italia",,2019-07-05
41,Agriturismo & Scuderia della Valle,"Via Prabutè, 2, 24038 Valsecca, Sant'Omobono Terme Italia",,2019-07-05
42,Agriturismo & Scuderia della Valle,"Via Prabutè, 2, 24038 Valsecca, Sant'Omobono Terme Italia",,2019-07-05
43,Agriturismo & Scuderia della Valle,"Via Prabutè, 2, 24038 Valsecca, Sant'Omobono Terme Italia",,2019-07-05
44,Agriturismo La Ferme du Grand Paradis,"Fraz. Valnontey 32, 11012 Cogne Italia",,2019-07-05
45,Agriturismo La Ferme du Grand Paradis,"Fraz. Valnontey 32, 11012 Cogne Italia",,2019-07-05
46,Agriturismo La Ferme du Grand Paradis,"Fraz. Valnontey 32, 11012 Cogne Italia",,2019-07-05
47,Agriturismo La Ferme du Grand Paradis,"Fraz. Valnontey 32, 11012 Cogne Italia",,2019-07-05
48,Crowne Plaza Milan Linate,"Via Konrad Adenauer 3, 20097 San Donato Milanese Italia",,2019-07-05
