,utente,commento,hotel,dataIns
0,Daniele P.,"Abbiamo soggiornato quattro giorni in un Alpine Lodge.....hanno praticamente tutto!!!! Ottimo punto di partenza per le escursioni e poi, al rientro, tutti in piscina a rinfrescarsi. Esperienza splendida. Da provare. Ci ritorneremo senz'altro! Grazie",Camping Olympia,2019-07-05
1,Felice N,"Ho trascorso da poco 4 giorni in questo fantastico Camping dotato di Lodge in legno da favola, praticamente è come stare a casa vostra, dotati di ogni comfort, vi è anche una sauna al centro dei lodge prenotabile con soli 5€ a persona, dispone di area barbeque, minizoo con attrazioni per piccoli e grandi, aree roulotte, e a breve sarà anche hotel con camere o appartamenti, ristorante e market all'interno dello stesso camping, i proprietari sono gentilissimi e disponibili. prezzi onesti per la qualità dell'ambiente e del camping, tessere magnetiche per l'accesso ai lodge e per l'ingresso e l'uscita dal camping senza limiti di orario, bagni per animali, praticamente c'è di tutto…",Camping Olympia,2019-07-05
2,Zex,"Piccolo ma veramente delizioso campeggio. Siamo stati qui per un fine settimana con un camper in 5. Piazzola media ma ben servita, market piccolino ma con la giusta offerta. Servizi completi, bagni molto ben curati, ristorante associato molto delizioso e gustoso. È stato un fine settimana decisamente rilassante e molto goduto. Ci tornerò di sicuro. …",Camping Olympia,2019-07-05
3,ElisAlice,Campeggio situato imposizione perfetta per poter visitare comodamente più luoghi di interesse senza sprecare troppo tempo in auto. Ottimo per chi ha cani. Unica pecca ristorante chiuso il martedì sera. Consigliato,Camping Olympia,2019-07-05
4,Alberto,"Sapevo già che nella zona Austria-Alto Adige i campeggi sono molto belli e organizzati,a questo li batte tutti. Bagni sempre puliti, Servizi al top e personale molto cordiale. Sicuramente il miglior posto in cui soggiornare se volete visitare la Val Pusteria!",Camping Olympia,2019-07-05
5,stefaniabonini,"Siamo stati in camper due notti in occasione della Cortina-Dobbiaco Run: splendida accoglienza e disponibilità ad ogni richiesta, personale gentilissimo è sempre presente. Il campeggio è organizzato, pulito , silenzioso e curato...è e rimarrà la nostra tappa in Val Pusteria!",Camping Olympia,2019-07-05
6,GlobeTrotting534439,"È il secondo anno consecutivo che veniamo, in camper, io mio marito e due cani, e come l'anno scorso ci siamo trovati benissimo, cortesia, pulizia e ospitalità la fanno da padroni. Ottima posizione, consigliatissimo.",Camping Olympia,2019-07-05
7,Fabio R,"Qui in camper con la famiglia, prezzi corretti, gentilezza, disponibilità, pulizia e spazi a disposizione per tutti. Buono il ristorante, simpatico il parco giochi e il piccolo ""bioparco"" con gli animali di montagna, in cui i bambini si sono divertiti tantissimo. La posizione poi è fantastica, a due passi da Dobbiaco e San Candido, è la base perfetta per esplorare tutta la zona!",Camping Olympia,2019-07-05
8,Desirè D,"Ho soggiornato con mio marito per una settimana nelle sistemazioni alpine lodge e ci siamo trovati benissimo.Sono soluzioni abitative singole e autonome, delle vere e proprie casettine di legno vista montagna. La posizione del campeggio è comodissima per raggiungere tutti i vari punti di interesse della valle ( tra Dobbiaco e Villabassa), a 5 min di auto dall imbocco per Braies, stessa distanza da san candido, 40 min da Lienz e da brunico. I lodge sono stupendi, dei gioiellini, tutti in legno, molto spaziosi e con tutti i confort (bagno grande e moderno con asciugamani e carta igienica, cucina con tutte le stoviglie, strofinacci, tovaglia, frigo, microonde e lavastoviglie con annessa capsula, sacchetti per la spazzatura, zona living con divanetto, tv,tavolo da pranzo che da sulla bellissima vetrata esterna, tanti armadi sia in camera da letto e cameretta von letto a castello). Bellissima anche la veranda esterna con tavolo per mangiare fuori e stendino per i panni. La tranquillità che si respira qui non ha prezzo! Anche perché la zona dei lodge è separata da quella dei camperisti. Come servizi abbiamo utilizzato solo il noleggio bici interno e il ristorante-pizzeria samyr (ottima pizza e bellissimo ambiente).Lo consiglieremo ai nostri amici e familiari e cogliamo l'occasione per ringraziare lo staff molto gentile e disponibile.Da ritornarci assolutamente!",Camping Olympia,2019-07-05
9,263ilariab,"La posizione del campeggio e' perfetta per chi ama muoversi a piedi o in bicicletta.A meta' strada tra i paesi di Dobbiaco e Villabassa,entrambi comodamente raggiungibili a piedi,il campeggio ha di fronte una serie di piste ciclabili e alle spalle un bosco che si presta a mille attivita' per bambini e famiglie.I servizi che offre il campeggio sono ottimi,diversi blocchi di servizi igienici sempre riscaldati e costantemente puliti,bagni a misura di bambino,stanza per lavare i cani,lavanderia con lavatrici e asciugatrici a gettone,stanza con fasciatoio.E' presente una piscina scoperta con annessi lettini ed ombrelloni e il campeggio offre anche un servizio navetta.Le fermate del bus sono situate comunque proprio fuori dal campeggio.Viene anche offerta una card per poter usufruire dei trasporti pubblici in tutto l'Alto Adige.E' presente anche un Caffe' ristorante pizzeria da poco rinnovato.Il personale e' molto cortese e disponibile.Personalmente mi sono trovata benissimo e lo raccomando senza alcuna esitazione.",Camping Olympia,2019-07-05
