;hotel;indirizzo;dataIns;province;città;nazione;lat;lng
0;Camping Olympia;Camping Olympia, 1 3904 Toblach, 39034 Dobbiaco Italia;2019-07-05;Bolzano;Dobbiaco - Toblach;Italy;46.63;12.23
1;Camping Village Firenze;Via Generale Dalla Chiesa 1-3, 50136, Firenze Italia;2019-07-05;Firenze;Firenze;Italy;43.765056;11.308736
2;Camping Torre Castiglione;Torre Lapillo 30, 73010, Porto Cesareo Italia;2019-07-05;Lecce;Porto Cesareo;Italy;40.287104;17.857042
3;Camping Sabbiadoro;Via Sabbiadoro 8, 33054, Lignano Sabbiadoro Italia;2019-07-05;Udine;Lignano Sabbiadoro;Italy;45.681909;13.126592
4;Europa Camping Village;Via Fausta 332 Loc. Valle Dolce, 30013, Cavallino-Treporti Italia;2019-07-05;Venezia;Cavallino-Treporti;Italy;45.453073;12.452587
5;Camping Village Marina di Venezia;Via Montello, 6, 30013, Cavallino-Treporti Italia;2019-07-05;Venezia;Cavallino-Treporti;Italy;45.46;12.5
6;Villaggio Camping Capo Ferrato;Via Delle Ginestre,12, 09043 Costa Rei, Muravera, Sardegna Italia;2019-07-05;Cagliari;Muravera;Italy;39.244365;9.570571
7;Camping Village Capo d'Orso;Localit‡ Le Saline Palau Sardegna, 07020, Palau, Sardegna Italia;2019-07-05;Olbia-Tempio;Buddusò;Italy;40.58;9.26
8;Rifugio Sapienza;Piazza Rifugio Sapienza SNC, 95030 Nicolosi, Sicilia Italia;2019-07-05;Catania;Nicolosi;Italy;37.700540000000004;14.998443
9;Rifugio Lagazuoi;Monte Lagazuoi, 2752, 32043 Cortina d'Ampezzo Italia;2019-07-05;Belluno;Cortina d'Ampezzo;Italy;46.527598;12.009021
10;Agriturismo & Scuderia della Valle;Via PrabutË, 2, 24038 Valsecca, Sant'Omobono Terme Italia;2019-07-05;Bergamo;Sant'Omobono Terme;Italy;45.830119;9.499444
11;Agriturismo La Ferme du Grand Paradis;Fraz. Valnontey 32, 11012 Cogne Italia;2019-07-05;Valle D'Aosta;Cogne;Italy;45.6;7.36
12;Crowne Plaza Milan Linate;Via Konrad Adenauer 3, 20097 San Donato Milanese Italia;2019-07-05;Milano;San Donato Milanese;Italy;45.419526;9.255909
13;UNAHOTELS San Vitale Bologna;Via Larga 4 Nei pressi della stazione ferroviaria ìvia Largaî e della tangenziale di Bologna uscita 11, 40138 Bologna Italia;2019-07-05;;;;;
